iter	Passed	Remaining
0	145	72410
1	156	38935
2	165	27470
3	175	21743
4	185	18366
5	191	15784
6	202	14283
7	213	13108
8	225	12324
9	239	11743
10	254	11332
11	264	10766
12	275	10315
13	284	9870
14	293	9480
15	301	9128
16	310	8827
17	319	8558
18	327	8286
19	335	8058
20	343	7836
21	352	7649
22	359	7461
23	369	7323
24	377	7170
25	385	7032
26	394	6909
27	403	6798
28	412	6696
29	420	6587
30	431	6521
31	439	6427
32	448	6342
33	456	6258
34	465	6189
35	476	6144
36	488	6117
37	500	6080
38	509	6027
39	521	5994
40	531	5955
41	544	5933
42	554	5897
43	564	5855
44	575	5819
45	585	5776
46	593	5723
47	603	5679
48	611	5631
49	621	5593
50	631	5561
51	641	5523
52	650	5484
53	659	5448
54	669	5413
55	677	5369
56	685	5329
57	694	5289
58	702	5248
59	711	5218
60	724	5216
61	737	5209
62	746	5174
63	754	5139
64	762	5101
65	771	5072
66	779	5038
67	788	5006
68	797	4981
69	805	4950
70	815	4928
71	826	4915
72	837	4901
73	849	4891
74	859	4870
75	871	4860
76	881	4841
77	890	4817
78	898	4786
79	905	4756
80	914	4728
81	922	4704
82	930	4676
83	939	4652
84	947	4626
85	955	4601
86	963	4575
87	972	4551
88	980	4527
89	988	4504
90	996	4479
91	1004	4454
92	1013	4436
93	1021	4413
94	1030	4392
95	1036	4362
96	1045	4341
97	1053	4319
98	1061	4299
99	1069	4278
100	1076	4251
101	1084	4232
102	1093	4216
103	1102	4197
104	1112	4183
105	1122	4172
106	1132	4158
107	1140	4138
108	1147	4117
109	1156	4099
110	1164	4081
111	1173	4064
112	1182	4048
113	1189	4029
114	1198	4013
115	1206	3995
116	1216	3983
117	1226	3971
118	1234	3953
119	1240	3927
120	1249	3913
121	1257	3897
122	1265	3879
123	1274	3866
124	1285	3856
125	1295	3844
126	1303	3828
127	1310	3809
128	1319	3794
129	1327	3778
130	1336	3765
131	1344	3749
132	1353	3734
133	1362	3720
134	1370	3706
135	1379	3691
136	1387	3676
137	1395	3660
138	1403	3645
139	1411	3630
140	1419	3614
141	1427	3599
142	1435	3583
143	1443	3569
144	1451	3554
145	1460	3540
146	1467	3525
147	1476	3512
148	1484	3497
149	1493	3483
150	1500	3469
151	1509	3455
152	1517	3441
153	1524	3426
154	1533	3414
155	1543	3403
156	1553	3392
157	1562	3381
158	1570	3367
159	1578	3354
160	1586	3341
161	1596	3330
162	1605	3318
163	1613	3306
164	1622	3293
165	1630	3279
166	1638	3266
167	1646	3253
168	1654	3240
169	1662	3227
170	1670	3214
171	1678	3201
172	1687	3188
173	1695	3176
174	1703	3163
175	1711	3150
176	1720	3139
177	1728	3126
178	1737	3115
179	1745	3103
180	1753	3090
181	1762	3078
